ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Accesorio turbo chef chefcomm pro full acceso con usb smart mod con-7006;1;724000;;;;;;GHTA-CON7006;;;TURBOCHEF;;;;20,00;4,00;23,00;0,46;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-CON7006.jpg;;;;;
;Accesorio turbo chef kit parrilla panini y bandeja mod enc-3017;1;1650000;;;;;;GHTA-ENC3017;;;TURBOCHEF;;;;35,50;2,50;38,10;0,85;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-ENC3017.jpg;;;;;
;Accesorio turbo chef cesta med 363mmx343mmx25mm mod 100011;1;366000;;;;;;GHTA-100011;;;TURBOCHEF;;;;36,30;2,50;34,30;0,78;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-100011.jpg;;;;;
;Afeitadora Remington rotativa hyperflex aqua mod xr1430;1;570000;;;;;;EDRAXR1430;;;REMINGTON;074590546897;;;17,50;9,20;24,50;244,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRAXR1430-N.jpg;;;;;
;Accesorio turbo chef pantalla de cocina med 35.6cmx35.6cm mod 100019;1;93000;;;;;;GHTA-100019;;;TURBOCHEF;;;;35,60;5,00;35,60;1,58;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-100019.jpg;;;;;
;Afeitadora electrica mod pr1335  bateria recargable led indicador de carga;1;207000;;;;;;EDRAPR1335;;;REMINGTON;074590551198;;;13,00;8,50;23,00;0,64;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRAPR1335-N.jpg;;;;;
;Alisador de pelo Remington mod s1305;1;122000;;;;;;EDRPS1305;;;REMINGTON;074590547047;;;36,00;13,00;23,00;2,69;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS1305-N.jpg;;;;;
;Acondicionador de aire portatil Tokyo tokport12b 12000btu control remoto;1;2217000;;;;;;AATOKPORT19-12CHR1;;;TOKYO;7841175012411;;;52,00;45,00;88,50;51,77;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKPORT19-12CHR1.jpg;;;;;
;Alisador de pelo Remington mod s7710 placas de ceramica 150-230nc 220v;1;275000;;;;;;EDRPS7710;;;REMINGTON;074590536348;;;10,00;10,00;33,00;4,10;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS7710.jpg;;;;;
;Afeitadora Remington rotativa hyperflex xr1400 cabezalez intercambiables bivolt;1;459000;;;;;;EDRAXR1400;;;REMINGTON;074590544886;;;5,42;5,75;8,80;0,07;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRAXR1400-N.jpg;;;;;
;Alisador de pelo Remington s-5505 150-230nc pro ceramic ultra bivolt;1;205000;;;;;;EDRPS5505;;;REMINGTON;074590536317;;;26,00;15,50;35,50;3,58;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS5505.jpg;;;;;
;Alisador de pelo Remington s-9960 con aguacate + macadamia oil bivolt;1;226000;;;;;;EDRPS9960;;;REMINGTON;074590536362;;;13,00;6,00;33,50;2,68;;;;;;;;;;;R217 ALISADOR S9960.  TEMPERATURA MáXIMA DE 230°C. PLACAS DE CERáMICA AVANZADA CON MICROACONDICIONADORES, LOS CUALES EMITEN EVITANDO DEJAR RESIDUOS ACEITOSOS EN EL CABELLO. PANTALLA DIGITAL DE TEMPERATURA. CUENTA CON 30 DIFERENTES TEMPERATURAS. CALENTAMIENTO INSTANTáNEO EN 30 SEGUNDOS. AUTOAPAGADO DESPUéS DE 60 MINUTOS. CABLE GIRATORIO. BIVOLT.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS9960.jpg;;;;;
;Alisador de pelo Remington s-9600 silk  46w 240nc ceramica avanzada con seda;1;454000;;;;;;EDRPS9600;;;REMINGTON;074590530759;;;15,00;8,50;34,50;4,25;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS9600.jpg;;;;;
;Alisador Rowenta brush and straight 200c sf75;1;221000;;;;;;EDRWASF75;;;ROWENTA;3121040059586;;;35,00;5,50;15,00;6,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRWASF75-N.jpg;;;;;
;Alisador Remington mod s7300 wet 2 straight ceramica avanzada uso seco y mojado;1;263000;;;;;;EDRPS7300;;;REMINGTON;074590543667;;;26,00;35,50;15,50;3,58;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS7300.jpg;;;;;
;Alisador de pelo Remington s9100 proluxe bivolt;1;406000;;;;;;EDRPS9100;;;REMINGTON;074590544558;;;8,30;14,60;35,50;1,08;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS9100-N.jpg;;;;;
;Alisador Rowenta liss & curl ultimate shine doble ion;1;208000;;;;;;EDRWASF62;;;ROWENTA;3121040055496;;;14,50;6,50;33,50;0,79;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRWASF62-N.jpg;;;;;
;Amasadora semirapida Venancio basculante 25kgs asrbv25;1;5447000;;;;;;GAV-ASRBV25;;;VENANCIO;0789395601749;;;85,00;88,00;66,00;123,42;;;;;;;;;;;AMASADORA MEZCLADORA SEMI-RAPIDA BASCULANTE. CAPACIDAD DE PRODUCCIóN, 2 KG. DE MASA PRONTA POR OPERACIóN. CAPACIDAD DE HARINA, 15 KG. TACHO EN ACERO INOXIDABLE PARA BASCULAR CON REJILLA DE PROTECCIóN. BATIDORES EN HIERRO FUNDIDO. ESTRUCTURA EN ACERO CON PINTURA ANTICORROSIVA.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAV-ASRBV25.jpg;;;;;
;Amasadora espiral Tokyo industrial mod lm20 cap 20lts amasado 8kgs 0.75kw 220v;1;4658000;;;;;;GAETI-LM20;;;TOKYO INDUSTRIAL;693239881918;;;44,00;85,00;76,00;85,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAETI-LM20.jpg;;;;;
;Amasadora rapida Metvisa mod ari25 25lts 3hp 220v;1;9860000;;;;;;GARM-ARI25;;;METVISA;7899511909970;;;91,00;98,00;68,00;975,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GARM-ARI25.jpg;;;;;
;Anafe a induccion Tokyo mod monalisa 4horn;1;2620000;;;;;;COTOKMON;;;TOKYO;7841175006113;;;16,50;63,00;65,50;17,02;;;;;;;;;;;ANAFE A INDUCCIóN MONALISA 4H;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOKMON.JPG;;;;;
;Amasadora rapida Metvisa mod ari15 15lts 2hp 220v;1;9196000;;;;;;GARM-ARI15;;;METVISA;7899511909840;;;85,00;98,00;60,00;725,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GARM-ARI15.jpg;;;;;
;Anafe electrico combinada Tokyo 3h 2 vitroceramica 1 induccion md tok2v1i;1;1108000;;;;;;COTOK2V1I;;;TOKYO;7841175012084;;;66,00;13,50;58,00;12,92;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOK2V1I-N.jpg;;;;;
;Anafe a induccion Tokyo mod odalisa 2horn;1;1494000;;;;;;COTOKODA;;;TOKYO;7841175006120;;;35,00;15,00;57,00;7,48;;;;;;;;;;;ANAFE A INDUCCIóN ODALISA 2H;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOKODA.JPG;;;;;
;Anafe combinado Tokyo anka inoxidable 3 hornallas a gas y 1electrico;1;823000;;;;;;COTOKANKA31;;;TOKYO;7841175008506;;;56,00;13,00;63,00;11,47;;;;;;;;;;;ANAFE COMBINADO ANKA;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOKANKA31.jpg;;;;;
;Anafe electrico combinada Tokyo 4 h 2 vitroceramica 2 induccion md tok2v2i;1;1461000;;;;;;COTOK2V2I;;;TOKYO;7841175012060;;;66,00;13,50;58,00;12,92;;;;;;;;;;;, ;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOK2V2I-N.jpg;;;;;
;Anafe Tokyo vitroceramico mod musa 2 gas 2 infrarroja;1;2268000;;;;;;COTOMUSA;;;TOKYO;7841175004386;;;60,50;15,50;63,00;14,77;;;;;;;;;;;2 HORNALLAS A GAS Y 2 PLACAS VITROCERáMICAS,VIDRIO TEMPLADO, QUEMADORES DE ALUMINIO, ENCENDIDO ELECTRICO, 2900W.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOMUSA.jpg;;;;;
;Anafe Whirlpool electrico akm9010ne 4horn vitroceramico c/ perillas;1;2630000;;;;;;COWHAKM9010NE;;;WHIRLPOOL;859409001000;;;59,00;13,00;65,50;12,56;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COWHAKM9010NE.jpg;;;;;
;Anafe Tokyo a gas cook 4 hornallas sabaf vidrio templado;1;808000;;;;;;COTOCOOK4;;;TOKYO;7896518512974;;;48,00;18,00;57,00;12,31;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOCOOK4.jpg;;;;;
;Aspirador de hojas Trapp sf3000 c/ bolsa 32l;1;577000;;;;;;EDPASF3000;;;TRAPP;7896260221940;;;21,70;38,50;87,00;18,17;;;;;;;;;;;SOPLADOR / ASPIRADOR ELéCTRICO SE RECOMIENDA PARA BARRER O RECOGER LA HIERBA CORTADA, HOJAS Y OTROS RESIDUOS DEJáNDOLO TODO LIMPIO Y HERMOSO. CUANDO EL APARATO DE VACíO TRITURA LOS RESIDUOS, REDUCIENDO SU VOLUMEN HASTA DIEZ VECES PARA FACILITAR LA DESCOMPOSICIóN.PESO LIGERO, PRáCTICO, FáCIL DE OPERAR.TELESCóPICORUEDAS PARA APOYAR EL EQUIPO SOBRE EL TERRENO.PALANCA DE INVERSIóNCORREA AJUSTABLE PARA EL MEJOR MANEJO DE LA MáQUINAFáCIL DE LIMPIAR DE BOLSAS DE RESIDUOS;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDPASF3000.jpg;;;;;
;Anafe Whirlpool induccion acm806ba 4hor vitroceramico touch;1;3963000;;;;;;COWHACM806BA;;;WHIRLPOOL;855780662000;;;58,00;6,00;51,00;12,50;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COWHACM806BA.JPG;;;;;
;Aspiradora Arno cleaner cyclonic force xl 1200w cap 1.8lts ap549;1;466000;;;;;;EDAAP549;;;ARNO;3221614002557;;;44,00;26,50;28,50;8,31;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDAAP549-N.jpg;;;;;
;Anafe Whirlpool electrico akt8090lx 4hor vitroceramico touch;1;2720000;;;;;;COWHAKT8090LX;;;WHIRLPOOL;8003437829024;;;67,50;14,00;60,00;14,18;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COWHAKT8090LX.jpg;;;;;
;Aspiradora Tokyo compact forte 1400w cap 23lts 220v/50hz;1;357000;;;;;;EDTASCFORTE810;;;TOKYO;7841175013333;;;36,00;59,00;36,00;19,12;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTASCFORTE810-N.jpg;;;;;
;Aspiradora Tokyo compact forte 1400w cap 30lts 220v/50hz;1;560000;;;;;;EDTASCFORTE;;;TOKYO;7841175011834;;;35,70;62,50;36,00;20,08;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTASCFORTE-N.jpg;;;;;
;Aspiradora Arno mod h3po de agua y polvo 1400w;1;788000;;;;;;EDAAH3PO;;;ARNO;7895500725101;;;33,50;33,50;47,50;13,33;;;;;;;;;;;.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDAAH3PO.jpg;;;;;
;Aspiradora Tokyo skinny de polvo 2 en 1 600w 5ohz;1;151000;;;;;;EDTASSK601;;;TOKYO;7841175013326;;;15,50;12,00;62,50;2,91;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTASSK601-N.jpg;;;;;
;Balanza comercial tokyo ind mod acs-l2 con torre  led display 5gr a 30kg 220v/50;1;348000;;;;;;GBLT-ACSL2NV;;;TOKYO INDUSTRIAL;7841175009527;;;15,00;38,50;43,50;6,28;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBLT-ACSL2NV.jpg;;;;;
;Balanza comercial tokyo ind acs-p2 con impresora 10gr a 30kg  para 5 digitos 220;1;992000;;;;;;GBLT-ACSP2NV;;;TOKYO INDUSTRIAL;7841175009534;;;33,00;18,50;42,50;6,49;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/O&http://181.40.23.235:8099/files/imagenes/productos/\APLIC\IMAGENES\manuales\explod_view\GBLT-ACSP2NV.xlsx;;;;;
;Balanza Tokyo industrial tcs-a2-300 300kgs de pie tipo columna 220v;1;1006000;;;;;;GBTK-TCSA2300;;;TOKYO INDUSTRIAL;7841175007608;;;49,00;91,50;24,50;27,46;;;;;;;;;;;BALANZA TOKYO INDUSTRIALDE PIE TIPO COLUMNAMODELO, TCS-A2 CAPACIDAD, 300 KG.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBTK-TCSA2300.jpg;;;;;
;Balanza de cocina tokabs bowl de plastico funcion tara cap 5kgs;1;53000;;;;;;EDTBTOKABS;;;TOKYO;7841175007974;;;8,60;17,40;17,00;13,85;;;;;;;;;;;BALANZA DE COCINA 5 KG;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTBTOKABS.jpg;;;;;
;Balanza Tokyo p/personas mod tok8012 top cap max 150kgs negro;1;114000;;;;;;EDTBTOK8012;;;TOKYO;7841175007004;;;4,50;30,00;32,00;16,40;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTBTOK8012.jpg;;;;;
;Banco de pesas Evolution fitness mod ft8500;1;1089000;;;;;;GIMEVFT8500;;;EVOLUTION;7841175007158;;;41,00;22,00;115,00;58,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVFT8500.jpg;;;;;
;Balanza electronica Tokyo industrial mod acs-c 30kgs c/bateria 220v;1;293000;;;;;;GBTK-ACSC30;;;TOKYO INDUSTRIAL;7841175007592;;;13,30;36,30;38,20;4,61;;;;;;;;;;;BALANZA TOKYO INDUSTRIAL MODELO, ACSC30 CON BATERIA220VCAAPCIDAD, 30  KG;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBTK-ACSC30.jpg;;;;;
;Balanza Tokyo p/personas tok926 slim cap max 180kgs verde;1;122000;;;;;;EDTBTOK926;;;TOKYO;7841175007011;;;4,50;33,00;33,00;8,80;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTBTOK926.jpg;;;;;
;Bandeja perforada Tokyo industrial mod op1525 40x60x25 mm;1;107000;;;;;;GBTOP1525;;;TOKYO INDUSTRIAL;6932398814355;;;1,00;1,00;1,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBTOP1525-N.jpg;;;;;
;Bandeja gastronomica Tokyo industrial mod 12065 1/2 4.5 ltrs;1;32000;;;;;;GB12065;;;TOKYO INDUSTRIAL;6932398806763;;;26,50;6,50;32,70;1,41;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GB12065-N.jpg;;;;;
;Bandeja honda 1/6 Tokyo industrial mod 16100;1;25000;;;;;;GB16100;;;TOKYO INDUSTRIAL;6932398806879;;;1,00;1,00;1,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GB16100-N.jpg;;;;;
;Barril para cerveza Memo de 10 litros inox mod 5310;1;2221000;;;;;;GBCM-5310;;;MEMO;7898923191546;;;38,00;87,00;27,00;22,32;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBCM-5310.jpg;;;;;
;Barril para cerveza Memo de 30 litros inox mod 4774;1;2491000;;;;;;GBCM-4774;;;MEMO;7898923191553;;;48,00;90,00;61,00;65,88;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBCM-4774.jpg;;;;;
;Batidora Arno facilita  sx15 blanca 4lts 3vel 220v;1;248000;;;;;;EDABSX15;;;ARNO;7895500720199;;;22,50;23,00;30,00;3,88;;;;;;;;;;;SOPORTE PARA GUARDAR LOS BATIDORES. * BOWL CON GRAN CAPACIDAD DE 4 LITROS * 2 EN 1, SE PUEDE UTILIZAR EN LA MANO O EN LA BASE. * 3 VELOCIDADES + FUNCIóN PULSAR. * EJECT PARA FACILITAR LA EXTRACCIóN DE LOS BATIDORES.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDABSX15.jpg;;;;;
;Batidora Arno planetaria deluxe sx84 ac.inox 8v;1;941000;;;;;;EDABPDSX84;;;ARNO;7895500725040;;;36,50;31,50;24,50;7,04;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDABPDSX84.jpg;;;;;
;Batidora Arno planetaria roja sx32 8 veloc 600w 2 bols;1;824000;;;;;;EDABPDSX32;;;ARNO;7895500742962;;;24,20;34,30;37,20;44,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDABPDSX32.jpg;;;;;
;Batidora agitador tipo globo Vitamix mod mix n machine advance 3440rpm;1;8414000;;;;;;GBAVMNM-25021;;;VITAMIX;0703113250217;;;27,90;33,00;71,10;16,37;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBAVMNM-25021.jpeg;;;;;
;Batidora Arno planetaria deluxe 2 bolw sx31 negra;1;768000;;;;;;EDABPSX31;;;ARNO;7895500742948;;;24,20;34,30;37,20;350,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDABPSX31.jpg;;;;;
;Batidora Arno planetaria sx89 8vel 4lts 500w blanca dos bols;1;832000;;;;;;EDABPSX89;;;ARNO;7895500726290;;;37,20;24,20;32,20;35,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDABPSX89.jpg;;;;;
;Batidora Arno planetaria sx30 8vel 4lts 500w blanca dos bols;1;832000;;;;;;EDABPSX30;;;ARNO;7895500742924;;;37,20;24,20;32,20;35,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDABPSX30.jpg;;;;;
;Batidora Arno planetaria tiffany sx95 8 veloc 500w 2 bols;1;817000;;;;;;EDABSX95;;;ARNO;7895500726153;;;37,20;24,20;32,20;42,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDABSX95.jpg;;;;;
;Batidora comercial Kitchenaid 5ksm7990xeer empire red 6.9l;1;6673000;;;;;;GMK-5KSMERR;;;KITCHENAID;5413184160104;;;34,50;50,00;44,00;18,98;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GMK-5KSMERR.jpg;;;;;
