ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Ablandador de carne Skymsen mod abn-hd inox heavy duty 1/2 hp 220v/50 hz;1;7818000;;;;;;GACS-ABN;;;SKYMSEN;7895707641785;;;51,00;31,00;59,00;28,00;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACS-ABN.jpg;;;Marca:SKYMSEN&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid cortador en espiral mod ksm1apc;1;1250000;;;;;;GC-KSM1APC;;;KITCHENAID;5413184102470;;;7,40;31,40;14,70;1,00;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GC-KSM1APC.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Ablandador de carne Metvisa tipo pac 1/2 hp 220v/50 hz;1;2472000;;;;;;GAM-PAC;;;METVISA;7899511901653;;;23,00;54,50;34,00;23,00;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAM-PAC.jpg;;;Marca:METVISA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid exprimidor de frutas mod je;1;310000;;;;;;GE-JE;;;KITCHENAID;50946000299;;;12,00;23,00;17,00;1,17;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-JE.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid extractor de jugo mod ksm1ja;1;2032000;;;;;;GE-KSM1JA;;;KITCHENAID;883049325743;;;18,00;24,00;26,50;4,14;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-KSM1JA.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio turbo chef cesta med 16.5cmx36.2cmx1.3cm mod ngc-1278;1;468000;;;;;;GHTA-NGC1278;;;TURBOCHEF;;;;16,50;1,30;36,20;0,19;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-NGC1278.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid molino de frutas y verduras mod 5fvsp;1;749000;;;;;;GM-5FVSP;;;KITCHENAID;50946426143;;;23,00;23,00;20,50;2,71;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GM-5FVSP.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio turbo chef chefcomm pro full acceso con usb smart mod con-7006;1;748000;;;;;;GHTA-CON7006;;;TURBOCHEF;;;;20,00;4,00;23,00;0,46;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-CON7006.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef cesta med 363mmx343mmx25mm mod 100011;1;378000;;;;;;GHTA-100011;;;TURBOCHEF;;;;36,30;2,50;34,30;0,78;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-100011.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef kit panini grill estante/bandeja p/horno sota mod i13221;1;1706000;;;;;;GHTA-I13221;;;TURBOCHEF;;;;22,00;2,00;35,00;0,39;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-I13221.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef pantalla de cocina med 35.6cmx35.6cm mod 100019;1;96000;;;;;;GHTA-100019;;;TURBOCHEF;;;;35,60;5,00;35,60;1,58;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-100019.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef kit parrilla panini y bandeja mod enc-3017;1;1706000;;;;;;GHTA-ENC3017;;;TURBOCHEF;;;;35,50;2,50;38,10;0,85;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-ENC3017.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Acondicionador de aire portatil Tokyo tokport12b 12000btu control remoto;1;2306000;;;;;;AATOKPORT19-12CHR1;;;TOKYO;7841175012411;;;52,00;45,00;88,50;51,77;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKPORT19-12CHR1.jpg;;;Marca:TOKYO&Producto:AIRES PORTATILES&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire  optima inverter 24000btu ctfh18-24chc/control kit incluido;1;5215000;;;;;;201;;;TOKYO;;;;200,40;77,80;93,50;364,44;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCTFH18-24CHRDI1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Lg inverter, 48.000 btu/h, f/c,-220-240v-1f-50/60hz;1;60000;;;;;;255;;;LG;;;;204,20;236,40;81,60;984,77;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AALGE19-C-48CHR1.jpg;;;Marca:LG&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casete inverter ech18-ci-18chr1 18000btu f/c horiz 220v/1p/50hz;1;5765000;;;;;;233;;;TOKYO;;;;191,00;103,50;133,00;657,30;;;20;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-CI-18CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo  extense cae19-36chr1 36000btu kit incluido;1;120000;;;;;;247;;;TOKYO;;;;55,00;133,50;244,50;448,81;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAE19-36CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casete inverter ech18-ci-48chr1 48000btu f/c horiz 220v/1p/50hz;1;10501000;;;;;;236;;;TOKYO;;;;188,40;145,50;132,20;905,97;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-CI-48CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casette slim f/c 60000btu ech18-cs-60chr1 desc vert 220v/50hz;1;10482000;;;;;;228;;;TOKYO;;;;168,00;125,00;168,00;882,00;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-CS-60CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo cassette f/c 18000btu ech18-c-18chr1 desc horiz 220v/50hz;1;4982000;;;;;;225;;;TOKYO;;;;125,50;85,00;184,00;490,71;;;20;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-C-18CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casete inverter ech18-ci-60chr1 60000btu f/c horiz 220v/1p/50hz;1;11731000;;;;;;237;;;TOKYO;;;;188,40;145,50;132,20;905,97;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-CI-60CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo cassette f/c12000btu ech18-c-12chr1 desc horiz 220v/50hz;1;4254000;;;;;;224;;;TOKYO;;;;101,00;96,00;166,50;403,60;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-C-12CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense 12000btu eafh19-12chr1;1;1821000;;;;;;240;;;TOKYO;;;;162,00;69,20;84,70;237,38;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOEAFH19-12CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo ducto vertical f/c 48000btu mod ech18-dv-48chr1 220v/50hz;1;9092000;;;;;;184;;;TOKYO;;;;132,00;209,50;135,50;936,78;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-DV-48CHR1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO DUCTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo cassette slim f/c48000btu ech18-cs-48chr1 desc vert 220v/50hz;1;9092000;;;;;;227;;;TOKYO;;;;168,00;125,00;168,00;882,00;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-CS-48CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense 12 mts 24000btu cafh19-24chr1 kit incluido;1;4051000;;;;;;242;;;TOKYO;;;;82,00;104,20;199,20;425,51;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAFH19-24CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense 18000btu cafh19-18chr1 kit incluido;1;3061000;;;;;;241;;;TOKYO;;;;192,00;78,20;92,20;346,08;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAFH19-18CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense cae19-12chr1 12000btu c/control kit incluido;1;1821000;;;;;;249;;;TOKYO;;;;71,50;85,20;165,00;251,29;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAE19-12CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense cae19-18chr1 18000btu c/control kit incluido;1;3061000;;;;;;245;;;TOKYO;;;;77,00;90,20;184,00;319,49;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAE19-18CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo mod 60chr1 60000btu/h piso/techo gas ecologico r410a fc/c;1;39000;;;;;;250;;;TOKYO;;;;153,00;120,00;251,00;1152,09;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATCCH19-PT-60CHR1N.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense cae19-24chr1 24000btu c/control kit incluido;1;4051000;;;;;;248;;;TOKYO;;;;82,00;104,20;199,20;425,51;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAE19-24CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo optima inverter 12000btu ctfh18-12chc/control kit incluido;1;60000;;;;;;254;;;TOKYO;;;;172,00;74,00;90,20;287,02;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAUF19-12CHRDI1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo mod ca17-pt-48chr1 48000btu/h piso/techo gas ecologico r410a f;1;9092000;;;;;;153;;;TOKYO;;;;115,00;167,00;280,00;1344,35;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATCA17-PT-48CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo optima inverter 18000btu ctfh18-18chc/control kit incluido;1;3863000;;;;;;256;;;TOKYO;;;;184,00;77,00;90,20;319,49;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOCAUF19-18CHRDI1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo piso/techo inverter cch18-pti-36chr1 36000btu f/c 380v/3p/50hz;1;9064000;;;;;;195;;;TOKYO;;;;244,50;167,00;81,00;826,84;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATCCH18-PTI-36CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo optima inverter 12000btu etfh18-12chrdi1 c/control;1;2451000;;;;;;186;;;TOKYO;;;;164,60;67,10;86,00;237,46;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOETFH18-12CHRDI1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo piso/techo inverter ech18-pti-48chr1 48000btu f/c 220v/1p/50hz;1;10501000;;;;;;189;;;TOKYO;;;;271,40;221,00;73,20;1097,62;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-PTI-48CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo piso/techo inverter ech18-pti-60chr1 60000btu f/c 220v/1p/50hz;1;11731000;;;;;;198;;;TOKYO;;;;271,40;191,00;73,20;948,62;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH18-PTI-60CHR1.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire tokyo techo suspendido Lg inverter ,48.000 btu/h, f/c, 220-240v-1f-50/60hz + control;1;39000;;;;;;252;;;LG;;;;285,50;177,90;122,90;1560,54;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AALGC19-PT-48CHR1.jpg;;;Marca:LG&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Afeitadora electrica mod pr1335-bateria recargable led indicador de carga;1;223000;;;;;;EDRAPR1335-N;;;REMINGTON;074590551198;;;13,00;8,50;23,00;0,64;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRAPR1335-N.jpg;;;Marca:REMINGTON&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
