ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Abridora. aplastadora. formadora de masas Skymsen mod amp-500 1/2hp 220v/50hz;1;19528000;;;;;;null;;;SKYMSEN;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:SKYMSEN&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid cortador en espiral mod ksm1apc;1;1250000;;;;;;null;;;KITCHENAID;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid molino de frutas y verduras mod 5fvsp;1;750000;;;;;;null;;;KITCHENAID;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio turbo chef cesta med 16.5cmx36.2cmx1.3cm mod ngc-1278;1;468000;;;;;;null;;;TURBOCHEF;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid exprimidor de frutas mod je;1;311000;;;;;;null;;;KITCHENAID;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid extractor de jugo mod ksm1ja;1;2032000;;;;;;null;;;KITCHENAID;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio turbo chef cesta med 363mmx343mmx25mm mod 100011;1;379000;;;;;;null;;;TURBOCHEF;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef kit parrilla panini y bandeja mod enc-3017;1;1707000;;;;;;null;;;TURBOCHEF;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef kit panini grill estante/bandeja p/horno sota mod i13221;1;1707000;;;;;;null;;;TURBOCHEF;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef chefcomm pro full acceso con usb smart mod con-7006;1;749000;;;;;;null;;;TURBOCHEF;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef pantalla de cocina med 35.6cmx35.6cm mod 100019;1;96000;;;;;;null;;;TURBOCHEF;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Acondicionador de aire portatil Tokyo tokport12b 12000btu control remoto;1;2306000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES PORTATILES&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casete inverter ech18-ci-18chr1 18000btu f/c horiz 220v/1p/50hz;1;5766000;;;;;;null;;;TOKYO;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire  optima inverter 24000btu ctfh18-24chc/control kit incluido;1;5215000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo  extense cae19-36chr1 36000btu kit incluido;1;121000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casete inverter ech18-ci-48chr1 48000btu f/c horiz 220v/1p/50hz;1;10502000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casete inverter ech18-ci-60chr1 60000btu f/c horiz 220v/1p/50hz;1;11731000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo cassette f/c12000btu ech18-c-12chr1 desc horiz 220v/50hz;1;4255000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo cassette slim f/c48000btu ech18-cs-48chr1 desc vert 220v/50hz;1;9092000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo casette slim f/c 60000btu ech18-cs-60chr1 desc vert 220v/50hz;1;10483000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense 12 mts 24000btu cafh19-24chr1 kit incluido;1;4052000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo cassette f/c 18000btu ech18-c-18chr1 desc horiz 220v/50hz;1;4982000;;;;;;null;;;TOKYO;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS CASETTE&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense 12000btu eafh19-12chr1;1;1822000;;;;;;null;;;TOKYO;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo ducto vertical f/c 48000btu mod ech18-dv-48chr1 220v/50hz;1;9092000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO DUCTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense cae19-12chr1 12000btu c/control kit incluido;1;1822000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense 18000btu cafh19-18chr1 kit incluido;1;3061000;;;;;;null;;;TOKYO;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense cae19-18chr1 18000btu c/control kit incluido;1;3061000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo extense cae19-24chr1 24000btu c/control kit incluido;1;4052000;;;;;;null;;;TOKYO;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo mod 60chr1 60000btu/h piso/techo gas ecologico r410a fc/c;1;40000;;;;;;null;;;TOKYO;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo optima inverter 12000btu ctfh18-12chc/control kit incluido;1;60000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo piso/techo inverter cch18-pti-36chr1 36000btu f/c 380v/3p/50hz;1;9064000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo optima inverter 12000btu etfh18-12chrdi1 c/control;1;2451000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo mod ca17-pt-48chr1 48000btu/h piso/techo gas ecologico r410a f;1;9092000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo piso/techo inverter ech18-pti-48chr1 48000btu f/c 220v/1p/50hz;1;10502000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Tokyo piso/techo inverter ech18-pti-60chr1 60000btu f/c 220v/1p/50hz;1;11731000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire tokyo techo suspendido Lg inverter ,48.000 btu/h, f/c, 220-240v-1f-50/60hz + control;1;40000;;;;;;null;;;LG;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:LG&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Afeitadora Remington rotativa hyperflex aqua mod xr1430;1;593000;;;;;;null;;;REMINGTON;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:REMINGTON&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Aire tipo cassette Lg mod aaLgc18-pt-60chr1 60000 btu f/c piso/techo gas eco 410a f/c 3;1;40000;;;;;;null;;;LG;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:LG&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Afeitadora electrica mod pr1335-bateria recargable led indicador de carga;1;224000;;;;;;null;;;REMINGTON;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:REMINGTON&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Afeitadora Remington rotativa hyperflex xr1400 cabezalez intercambiables bivolt;1;478000;;;;;;null;;;REMINGTON;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:REMINGTON&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
