ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Accesorio turbo chef cesta med 16.5cmx36.2cmx1.3cm mod ngc-1278;1;452000;;;;;;GHTA-NGC1278;;;TURBOCHEF;;;;16,50;1,30;36,20;0,19;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-NGC1278.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid extractor de jugo mod ksm1ja;1;2032000;;;;;;GE-KSM1JA;;;KITCHENAID;883049325743;;;18,00;24,00;26,50;4,14;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-KSM1JA.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid molino de frutas y verduras mod 5fvsp;1;750000;;;;;;GM-5FVSP;;;KITCHENAID;50946426143;;;23,00;23,00;20,50;2,71;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GM-5FVSP.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid cortador en espiral mod ksm1apc;1;1250000;;;;;;GC-KSM1APC;;;KITCHENAID;5413184102470;;;7,40;31,40;14,70;1,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GC-KSM1APC.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio Kitchenaid exprimidor de frutas mod je;1;311000;;;;;;GE-JE;;;KITCHENAID;50946000299;;;12,00;23,00;17,00;1,17;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-JE.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Accesorio turbo chef cesta med 363mmx343mmx25mm mod 100011;1;366000;;;;;;GHTA-100011;;;TURBOCHEF;;;;36,30;2,50;34,30;0,78;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-100011.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef chefcomm pro full acceso con usb smart mod con-7006;1;724000;;;;;;GHTA-CON7006;;;TURBOCHEF;;;;20,00;4,00;23,00;0,46;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-CON7006.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef kit panini grill estante/bandeja p/horno sota mod i13221;1;1650000;;;;;;GHTA-I13221;;;TURBOCHEF;;;;22,00;2,00;35,00;0,39;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-I13221.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Afeitadora electrica mod pr1335-bateria recargable led indicador de carga;1;224000;;;;;;EDRAPR1335;;;REMINGTON;074590551198;;;13,00;8,50;23,00;0,64;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRAPR1335-N.jpg;;;Marca:REMINGTON&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Accesorio turbo chef pantalla de cocina med 35.6cmx35.6cm mod 100019;1;93000;;;;;;GHTA-100019;;;TURBOCHEF;;;;35,60;5,00;35,60;1,58;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-100019.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Accesorio turbo chef kit parrilla panini y bandeja mod enc-3017;1;1650000;;;;;;GHTA-ENC3017;;;TURBOCHEF;;;;35,50;2,50;38,10;0,85;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-ENC3017.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Afeitadora Remington rotativa hyperflex aqua mod xr1430;1;593000;;;;;;EDRAXR1430;;;REMINGTON;074590546897;;;17,50;9,20;24,50;244,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRAXR1430-N.jpg;;;Marca:REMINGTON&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Acondicionador de aire portatil Tokyo tokport12b 12000btu control remoto;1;2306000;;;;;;AATOKPORT19-12CHR1;;;TOKYO;7841175012411;;;52,00;45,00;88,50;51,77;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKPORT19-12CHR1.jpg;;;Marca:TOKYO&Producto:AIRES PORTATILES&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Afeitadora Remington rotativa hyperflex xr1400 cabezalez intercambiables bivolt;1;478000;;;;;;EDRAXR1400;;;REMINGTON;074590544886;;;5,42;5,75;8,80;0,07;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRAXR1400-N.jpg;;;Marca:REMINGTON&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Alisador de pelo Remington mod s1305;1;127000;;;;;;EDRPS1305;;;REMINGTON;074590547047;;;36,00;13,00;23,00;2,69;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS1305-N.jpg;;;Marca:REMINGTON&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Alisador de pelo Remington mod s7710 placas de ceramica 150-230nc 220v;1;286000;;;;;;EDRPS7710;;;REMINGTON;074590536348;;;10,00;10,00;33,00;4,10;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS7710.jpg;;;Marca:REMINGTON&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Alisador de pelo Remington s-9960 con aguacate + macadamia oil bivolt;1;235000;;;;;;EDRPS9960;;;REMINGTON;074590536362;;;13,00;6,00;33,50;2,68;;;3;;;;;;;;R217 ALISADOR S9960.  TEMPERATURA MáXIMA DE 230°C. PLACAS DE CERáMICA AVANZADA CON MICROACONDICIONADORES, LOS CUALES EMITEN EVITANDO DEJAR RESIDUOS ACEITOSOS EN EL CABELLO. PANTALLA DIGITAL DE TEMPERATURA. CUENTA CON 30 DIFERENTES TEMPERATURAS. CALENTAMIENTO INSTANTáNEO EN 30 SEGUNDOS. AUTOAPAGADO DESPUéS DE 60 MINUTOS. CABLE GIRATORIO. BIVOLT.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS9960.jpg;;;Marca:REMINGTON&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Alisador Remington mod s7300 wet 2 straight ceramica avanzada uso seco y mojado;1;273000;;;;;;EDRPS7300;;;REMINGTON;074590543667;;;26,00;35,50;15,50;3,58;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS7300.jpg;;;Marca:REMINGTON&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Alisador de pelo Remington s9100 proluxe bivolt;1;422000;;;;;;EDRPS9100;;;REMINGTON;074590544558;;;8,30;14,60;35,50;1,08;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRPS9100-N.jpg;;;Marca:REMINGTON&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Alisador Rowenta brush and straight 200c sf75;1;230000;;;;;;EDRWASF75;;;ROWENTA;3121040059586;;;35,00;5,50;15,00;6,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRWASF75-N.jpg;;;Marca:ROWENTA&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Alisador Rowenta liss & curl ultimate shine doble ion;1;216000;;;;;;EDRWASF62;;;ROWENTA;3121040055496;;;14,50;6,50;33,50;0,79;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDRWASF62-N.jpg;;;Marca:ROWENTA&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Amasadora rapida Metvisa mod ari15 15lts 2hp 220v;1;9196000;;;;;;GARM-ARI15;;;METVISA;7899511909840;;;85,00;98,00;60,00;725,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GARM-ARI15.jpg;;;Marca:METVISA&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Ablandador de carne Malta manual 902 17cm;1;188000;;;;;;GAMC902;;;MALTA;7896201709025;;;24,00;12,50;25,00;1,88;;;3;;;;;;;;ABLANDADOR DE CARNE MALTA MANUAL 902. 17 CM;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAMC902.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Amasadora rapida Metvisa mod ari25 25lts 3hp 220v;1;9860000;;;;;;GARM-ARI25;;;METVISA;7899511909970;;;91,00;98,00;68,00;975,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GARM-ARI25.jpg;;;Marca:METVISA&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Amasadora rapida Venancio 7kgs mod arv05 220v/50hz;1;4712000;;;;;;GAIV-ARV05;;;VENANCIO;;;;60,00;65,00;49,00;56,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/O&http://181.40.23.235:8099/files/imagenes/productos/\APLIC\IMAGENES\manuales\explod_view\GAIV-ARV05.pdf;;;Marca:VENANCIO&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Amasadora semirapida Venancio basculante 25kgs asrbv25;1;5447000;;;;;;GAV-ASRBV25;;;VENANCIO;0789395601749;;;85,00;88,00;66,00;123,42;;;3;;;;;;;;AMASADORA MEZCLADORA SEMI-RAPIDA BASCULANTE. CAPACIDAD DE PRODUCCIóN, 2 KG. DE MASA PRONTA POR OPERACIóN. CAPACIDAD DE HARINA, 15 KG. TACHO EN ACERO INOXIDABLE PARA BASCULAR CON REJILLA DE PROTECCIóN. BATIDORES EN HIERRO FUNDIDO. ESTRUCTURA EN ACERO CON PINTURA ANTICORROSIVA.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAV-ASRBV25.jpg;;;Marca:VENANCIO&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Anafe a induccion Tokyo mod odalisa 2horn;1;1554000;;;;;;COTOKODA;;;TOKYO;7841175006120;;;35,00;15,00;57,00;7,48;;;3;;;;;;;;ANAFE A INDUCCIóN ODALISA 2H;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOKODA.JPG;;;Marca:TOKYO&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe combinado Tokyo anka inoxidable 3 hornallas a gas y 1electrico;1;856000;;;;;;COTOKANKA31;;;TOKYO;7841175008506;;;56,00;13,00;63,00;11,47;;;3;;;;;;;;ANAFE COMBINADO ANKA;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOKANKA31.jpg;;;Marca:TOKYO&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe electrico combinada Tokyo 3h 2 vitroceramica 1 induccion md tok2v1i;1;1153000;;;;;;COTOK2V1I;;;TOKYO;7841175012084;;;66,00;13,50;58,00;12,92;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOK2V1I-N.jpg;;;Marca:TOKYO&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe a induccion Tokyo mod monalisa 4horn;1;2725000;;;;;;COTOKMON;;;TOKYO;7841175006113;;;16,50;63,00;65,50;17,02;;;3;;;;;;;;ANAFE A INDUCCIóN MONALISA 4H;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOKMON.JPG;;;Marca:TOKYO&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe Ariston electrico hr611ca 4hor vitroceramico touch;1;3002000;;;;;;COARHR611CA;;;ARISTON;8050147042984;;;60,00;13,00;67,00;13,07;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COARHR611CA-N.jpg;;;Marca:ARISTON&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe Whirlpool electrico akm9010ne 4horn vitroceramico c/ perillas;1;2735000;;;;;;COWHAKM9010NE;;;WHIRLPOOL;859409001000;;;59,00;13,00;65,50;12,56;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COWHAKM9010NE.jpg;;;Marca:WHIRLPOOL&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe electrico Tokyo 4 hornallas vitroceramica mod tok4hvc;1;1078000;;;;;;COTOK4HVC;;;TOKYO;7841175012077;;;66,00;13,50;58,00;12,92;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOK4HVC-N.jpg;;;Marca:TOKYO&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe electrico combinada Tokyo 4 h 2 vitroceramica 2 induccion md tok2v2i;1;1519000;;;;;;COTOK2V2I;;;TOKYO;7841175012060;;;66,00;13,50;58,00;12,92;;;3;;;;;;;;, ;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COTOK2V2I-N.jpg;;;Marca:TOKYO&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Anafe Whirlpool electrico akt8090lx 4hor vitroceramico touch;1;2829000;;;;;;COWHAKT8090LX;;;WHIRLPOOL;8003437829024;;;67,50;14,00;60,00;14,18;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COWHAKT8090LX.jpg;;;Marca:WHIRLPOOL&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Aspiradora Arno cleaner cyclonic force xl 1200w cap 1.8lts ap549;1;484000;;;;;;EDAAP549;;;ARNO;3221614002557;;;44,00;26,50;28,50;8,31;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDAAP549-N.jpg;;;Marca:ARNO&Producto:ASPIRADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Aspiradora Tokyo compact forte 1400w cap 23lts 220v/50hz;1;372000;;;;;;EDTASCFORTE810;;;TOKYO;7841175013333;;;36,00;59,00;36,00;19,12;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTASCFORTE810-N.jpg;;;Marca:TOKYO&Producto:ASPIRADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Aspiradora Tokyo compact forte 1400w cap 30lts 220v/50hz;1;582000;;;;;;EDTASCFORTE;;;TOKYO;7841175011834;;;35,70;62,50;36,00;20,08;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTASCFORTE-N.jpg;;;Marca:TOKYO&Producto:ASPIRADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Anafe Whirlpool induccion acm806ba 4hor vitroceramico touch;1;4122000;;;;;;COWHACM806BA;;;WHIRLPOOL;855780662000;;;58,00;6,00;51,00;12,50;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/COWHACM806BA.JPG;;;Marca:WHIRLPOOL&Producto:ANAFES DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial;;
;Aspiradora Arno mod h3po de agua y polvo 1400w;1;820000;;;;;;EDAAH3PO;;;ARNO;7895500725101;;;33,50;33,50;47,50;13,33;;;3;;;;;;;;.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDAAH3PO.jpg;;;Marca:ARNO&Producto:ASPIRADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Balanza electronica Tokyo industrial mod acs-c 30kgs c/bateria 220v;1;293000;;;;;;GBTK-ACSC30;;;TOKYO INDUSTRIAL;7841175007592;;;13,30;36,30;38,20;4,61;;;3;;;;;;;;BALANZA TOKYO INDUSTRIAL MODELO, ACSC30 CON BATERIA220VCAAPCIDAD, 30  KG;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBTK-ACSC30.jpg;;;Marca:TOKYO INDUSTRIAL&Producto:BALANZAS COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Balanza de cocina tokabs bowl de plastico funcion tara cap 5kgs;1;55000;;;;;;EDTBTOKABS;;;TOKYO;7841175007974;;;8,60;17,40;17,00;13,85;;;3;;;;;;;;BALANZA DE COCINA 5 KG;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTBTOKABS.jpg;;;Marca:TOKYO&Producto:BALANZAS DE COCINA&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Balanza Tokyo p/personas mod tok8012 top cap max 150kgs negro;1;119000;;;;;;EDTBTOK8012;;;TOKYO;7841175007004;;;4,50;30,00;32,00;16,40;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTBTOK8012.jpg;;;Marca:TOKYO&Producto:BALANZAS DE BA�O&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Balanza Tokyo industrial tcs-a2-300 300kgs de pie tipo columna 220v;1;1006000;;;;;;GBTK-TCSA2300;;;TOKYO INDUSTRIAL;7841175007608;;;49,00;91,50;24,50;27,46;;;3;;;;;;;;BALANZA TOKYO INDUSTRIALDE PIE TIPO COLUMNAMODELO, TCS-A2 CAPACIDAD, 300 KG.;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBTK-TCSA2300.jpg;;;Marca:TOKYO INDUSTRIAL&Producto:BALANZAS COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Balanza comercial tokyo ind mod acs-l2 con torre-led display 5gr a 30kg 220v/50;1;348000;;;;;;GBLT-ACSL2NV;;;TOKYO INDUSTRIAL;7841175009527;;;15,00;38,50;43,50;6,28;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GBLT-ACSL2NV.jpg;;;Marca:TOKYO INDUSTRIAL&Producto:BALANZAS COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Balanza Tokyo p/personas tok926 slim cap max 180kgs verde;1;127000;;;;;;EDTBTOK926;;;TOKYO;7841175007011;;;4,50;33,00;33,00;8,80;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/EDTBTOK926.jpg;;;Marca:TOKYO&Producto:BALANZAS DE BA�O&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Bandeja gastronomica Tokyo industrial mod 12065 1/2 4.5 ltrs;1;32000;;;;;;GB12065;;;TOKYO INDUSTRIAL;6932398806763;;;26,50;6,50;32,70;1,41;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GB12065-N.jpg;;;Marca:TOKYO INDUSTRIAL&Producto:ASADERAS / BANDEJAS GASTRONOMICAS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Banco de pesas Evolution fitness mod ft8500;1;1132000;;;;;;GIMEVFT8500;;;EVOLUTION;7841175007158;;;41,00;22,00;115,00;58,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVFT8500.jpg;;;Marca:EVOLUTION&Producto:MULTIEJERCICIOS&Segmento:FITNESS&Vendedor:Sara Comercial;;
